Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
casamentoatualizado.com,23,3.551191,0,1,2,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0.5263158,0,0,0.16666667,0,0,0
thebiggameshow.com,18,3.6143694,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0,0,0,0.5,0.35714287,0,0,0.23076923,0,0,1
swpark.or.th,12,3.251629,0,2,3,1,0,0,0,2,0,2,3.3333333,0,0,0.25,1,0,0,0.16666667,0.2,0.5,0,0.33333334,0,0
ashoksaraf.com,14,3.182006,0,1,2,0,0,0,1,3,0,0,6.5,0,0,0,0,0,0,0.4,0,0.3,0,0,0,1
kt-marketing.com,16,3.625,0,1,3,0,1,0,1,3,0.0625,1,4.6666665,0,0,0,0,0,0,0.27272728,0,0.19999999,0.18181819,0,0,0
marinhogroup.com,16,3.4528196,0,1,2,0,0,0,1,3,0,0,7.5,0,0,0,0,0,0,0.41666666,0,0.19999999,0.18181819,0,0,0
maverickvenues.com,18,3.5724313,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0.16666667,0,0,0,0.42857143,0,0,0.23076923,0,0,1
biysk.mabix.ru,14,3.3787835,0,2,3,1,0,0,1,2,0,1,4,0,0,0,1,0,0,0.4,0,0.4,0,0,0,0
signin.paypal.com-serve.info,28,3.94076,0,3,5,2,1,0,0,4,0.035714287,0,4.8,0,0,0,1,0,0,0.33333334,0,0.5,0.2,0,0,0
avon2you.ru,11,3.0957954,0.09090909,1,2,0,0,1,1,2,0,1,5,0,0.09090909,0,0,0,0,0.71428573,0,0.39999998,0.2857143,0,0,0
skazko.ru,9,2.947703,0,1,2,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0.33333334,0,0.4,0,0,0,0
mytown.mercurynews.com,22,3.5160277,0,2,3,1,0,0,1,3,0,0,6.6666665,0,0,0,1,0,0,0.33333334,0,0.4,0.2,0,0,1
humantechnology.mx,18,3.7254806,0,1,2,0,0,0,0,2,0,1,8.5,0,0,0.16666667,0,0,0,0.4,0,0,0.071428575,0,0,0
worldmedicassist.com,20,3.5841837,0,1,2,0,0,0,1,3,0,0,9.5,0,0,0.33333334,0,0,0.5,0.3125,0,0,0.2,0,0,0
cishoops.ca,11,2.9139771,0,1,2,0,0,0,1,2,0,1,5,0,0,0,0,0,0.5,0.375,0,0.5,0.14285715,0,0,1
homeyee.net,11,2.732159,0,1,2,0,0,0,1,3,0,0,5,0,0,0,0,0,0.5,0.71428573,0,0.5,0,0,0,0
shannonthunderbird.com,22,3.732159,0,1,2,0,0,0,1,3,0,0,10.5,0,0,0.14285715,0,0,0.5,0.2777778,0,0,0.3529412,0,0,1
deafvideo.tv,12,3.0849626,0,1,2,0,0,0,0,2,0,1,5.5,0,0,0,0,0,0,0.5555556,0,0.39999998,0,0,0,1
cityvisionkck.org,17,3.4548223,0,1,2,0,0,0,1,3,0,0,8,0,0,0.4,0,0,0,0.3846154,0,0,0.25,0,0,1
family-partners.fr,18,3.6835425,0,1,3,0,1,0,1,2,0.055555556,1,5.3333335,0,0,0.16666667,0,0,0,0.35714287,0,0.100000024,0.071428575,0,0,0
snowbu.net,10,3.1219282,0,1,2,0,0,0,1,3,0,0,4.5,0,0,0,0,0,0,0.33333334,0,0.5,0,0,0,0
brokeaz.com.au,14,3.3787835,0,2,3,1,0,0,1,2,0,1,4,0,0,0,1,0,0,0.42857143,0,0.39999998,0,0,0,0
webdesn.weebly.com,18,3.3921473,0,2,3,1,0,0,1,3,0,0,5.3333335,0,0,0,1,0,0,0.2857143,0,0.5,0.16666667,0,0,1
nypap.org,9,2.947703,0,1,2,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0.4,0,0.7,0,0,0,1
gycisas.com,11,3.0957954,0,1,2,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0.42857143,0,0.39999998,0.16666667,0,0,0
goldbook.ca,11,3.0271692,0,1,2,0,0,0,1,2,0,1,5,0,0,0.33333334,0,0,0.5,0.375,0,0.4,0,0,0,1
brandappz.com,13,3.3927474,0,1,2,0,0,0,1,3,0,0,6,0,0,0.25,0,0,0.5,0.22222222,0,0.5,0.25,0,0,0
ctspagroup.com,14,3.3787835,0,1,2,0,0,0,1,3,0,0,6.5,0,0,0.5,0,0,0,0.3,0,0.39999998,0.11111111,0,0,0
advert-department-maintenance.16mb.com,38,3.8371475,0.05263158,2,5,1,1,2,1,3,0.05263158,0,6.8,0,0.05263158,0.083333336,1,0,0,0.37037036,0,0,0.17857143,0,0,0
resumecritiques.com,19,3.3660913,0,1,2,0,0,0,1,3,0,0,9,0,0,0,0,0,0,0.46666667,0,0,0.2857143,0,0,1
springpadit.com,15,3.640224,0,1,2,0,0,0,1,3,0,0,7,0,0,0.4,0,0,0,0.27272728,0,0.3,0.3,0,0,1
